user_id,cohort,signup_date,user_type,age_group,completed_first_song,time_to_first_song_minutes,shared_recording,used_recommended_playlist,days_active_week_1,songs_completed_week_1
control_user_0000,control,2024-10-20,年轻用户,18-24岁,False,,False,False,0,0
control_user_0001,control,2024-11-26,年轻用户,45岁以上,True,10,False,False,3,1
control_user_0002,control,2024-11-19,年轻用户,35-44岁,True,3,True,False,4,1
control_user_0003,control,2024-11-30,年轻用户,25-34岁,False,,False,False,0,0
control_user_0004,control,2024-11-04,年轻用户,35-44岁,True,9,True,True,5,2
control_user_0005,control,2024-11-09,年轻用户,45岁以上,True,10,False,True,4,1
control_user_0006,control,2024-10-07,年轻用户,45岁以上,False,,False,False,0,0
control_user_0007,control,2024-11-30,年轻用户,25-34岁,True,26,False,False,4,4
control_user_0008,control,2024-10-05,年轻用户,18-24岁,False,,False,False,0,0
control_user_0009,control,2024-11-08,年轻用户,35-44岁,False,,False,False,1,0
control_user_0010,control,2024-10-21,年轻用户,18-24岁,False,,True,False,0,0
control_user_0011,control,2024-10-16,年轻用户,45岁以上,False,,False,False,0,0
control_user_0012,control,2024-10-14,年轻用户,35-44岁,False,,False,False,0,0
control_user_0013,control,2024-11-04,年轻用户,35-44岁,False,,False,False,1,0
control_user_0014,control,2024-10-08,年轻用户,45岁以上,False,,False,False,1,0
control_user_0015,control,2024-10-20,年轻用户,25-34岁,False,,True,True,1,0
control_user_0016,control,2024-10-21,年轻用户,45岁以上,False,,False,True,1,0
control_user_0017,control,2024-11-18,年轻用户,18-24岁,True,7,False,False,3,4
control_user_0018,control,2024-11-28,年轻用户,35-44岁,False,,False,False,0,0
control_user_0019,control,2024-11-07,年轻用户,18-24岁,True,24,False,False,6,4
control_user_0020,control,2024-10-08,年轻用户,35-44岁,False,,False,False,1,0
control_user_0021,control,2024-11-10,年轻用户,45岁以上,True,8,False,False,1,6
control_user_0022,control,2024-10-19,年轻用户,25-34岁,False,,False,False,0,0
control_user_0023,control,2024-10-10,年轻用户,18-24岁,False,,False,False,4,0
control_user_0024,control,2024-10-09,年轻用户,18-24岁,False,,False,False,1,0
control_user_0025,control,2024-11-09,年轻用户,45岁以上,True,10,False,False,2,3
control_user_0026,control,2024-10-27,年轻用户,35-44岁,False,,False,True,0,0
control_user_0027,control,2024-11-15,年轻用户,45岁以上,True,21,False,False,4,1
control_user_0028,control,2024-10-16,年轻用户,18-24岁,False,,False,False,0,0
control_user_0029,control,2024-11-09,年轻用户,35-44岁,True,12,False,False,2,7
control_user_0030,control,2024-10-11,年轻用户,35-44岁,True,26,False,True,5,7
control_user_0031,control,2024-10-19,年轻用户,18-24岁,False,,False,True,1,0
control_user_0032,control,2024-10-09,年轻用户,35-44岁,False,,False,False,1,0
control_user_0033,control,2024-11-28,年轻用户,25-34岁,False,,False,False,1,0
control_user_0034,control,2024-11-20,年轻用户,35-44岁,False,,False,False,1,0
control_user_0035,control,2024-10-06,年轻用户,35-44岁,False,,False,False,1,0
control_user_0036,control,2024-11-19,年轻用户,45岁以上,True,12,False,False,3,2
control_user_0037,control,2024-10-26,年轻用户,45岁以上,False,,False,False,2,0
control_user_0038,control,2024-10-25,年轻用户,25-34岁,False,,False,False,0,0
control_user_0039,control,2024-10-01,年轻用户,45岁以上,True,12,False,False,0,3
control_user_0040,control,2024-10-22,年轻用户,35-44岁,True,13,False,False,2,3
control_user_0041,control,2024-10-21,年轻用户,25-34岁,False,,False,False,0,0
control_user_0042,control,2024-11-03,年轻用户,18-24岁,True,5,False,True,7,4
control_user_0043,control,2024-11-15,年轻用户,18-24岁,False,,True,False,0,0
control_user_0044,control,2024-11-27,年轻用户,25-34岁,True,8,True,False,4,3
control_user_0045,control,2024-10-17,年轻用户,35-44岁,True,10,False,True,4,1
control_user_0046,control,2024-11-09,年轻用户,25-34岁,True,9,False,False,0,1
control_user_0047,control,2024-11-06,年轻用户,18-24岁,False,,False,True,0,0
control_user_0048,control,2024-11-29,年轻用户,18-24岁,True,5,False,True,4,1
control_user_0049,control,2024-11-04,年轻用户,18-24岁,True,15,False,False,4,1
control_user_0050,control,2024-10-24,年轻用户,18-24岁,False,,False,True,0,0
control_user_0051,control,2024-11-11,年轻用户,35-44岁,True,26,False,False,2,4
control_user_0052,control,2024-11-17,年轻用户,45岁以上,True,28,False,False,3,6
control_user_0053,control,2024-10-02,年轻用户,45岁以上,True,8,True,False,2,4
control_user_0054,control,2024-11-17,年轻用户,25-34岁,False,,False,True,0,0
control_user_0055,control,2024-10-31,年轻用户,18-24岁,False,,False,False,1,0
control_user_0056,control,2024-10-12,年轻用户,18-24岁,False,,False,False,0,0
control_user_0057,control,2024-11-23,年轻用户,25-34岁,False,,False,True,0,0
control_user_0058,control,2024-10-05,年轻用户,25-34岁,False,,False,False,4,0
control_user_0059,control,2024-10-21,年轻用户,45岁以上,True,11,False,False,6,1
control_user_0060,control,2024-10-11,年轻用户,45岁以上,False,,False,False,2,0
control_user_0061,control,2024-10-09,年轻用户,18-24岁,True,21,True,False,6,1
control_user_0062,control,2024-10-27,年轻用户,35-44岁,False,,False,False,0,0
control_user_0063,control,2024-11-10,年轻用户,25-34岁,True,5,False,False,2,2
control_user_0064,control,2024-10-23,年轻用户,35-44岁,True,26,False,False,5,1
