user_id,event_type,timestamp,user_type,age_group,usage_scenario
user_0001,signup,2024-10-24T18:38:21,家庭用户,18-24岁,家庭聚会
user_0001,first_song_selected,2024-10-24T18:50:21,家庭用户,18-24岁,家庭聚会
user_0001,first_song_completed,2024-10-24T18:58:21,家庭用户,18-24岁,家庭聚会
user_0002,signup,2024-10-03T21:25:57,年轻用户,45岁以上,独唱
user_0002,first_song_selected,2024-10-03T21:29:57,年轻用户,45岁以上,独唱
user_0003,signup,2024-11-10T17:33:07,年轻用户,25-34岁,练歌
user_0003,first_song_selected,2024-11-10T17:43:07,年轻用户,25-34岁,练歌
user_0003,first_song_completed,2024-11-10T17:46:07,年轻用户,25-34岁,练歌
user_0004,signup,2024-10-27T23:29:13,年轻用户,45岁以上,家庭聚会
user_0004,first_song_selected,2024-10-27T23:42:13,年轻用户,45岁以上,家庭聚会
user_0004,first_song_completed,2024-10-27T23:45:13,年轻用户,45岁以上,家庭聚会
user_0004,shared_recording,2024-10-27T23:57:13,年轻用户,45岁以上,家庭聚会
user_0005,signup,2024-12-10T20:23:53,家庭用户,35-44岁,独唱
user_0005,first_song_selected,2024-12-10T20:25:53,家庭用户,35-44岁,独唱
user_0006,signup,2024-12-25T23:15:07,年轻用户,35-44岁,练歌
user_0007,signup,2024-12-04T04:51:18,年轻用户,18-24岁,独唱
user_0007,first_song_selected,2024-12-04T04:56:18,年轻用户,18-24岁,独唱
user_0008,signup,2024-10-27T23:43:31,家庭用户,18-24岁,朋友聚会
user_0008,first_song_selected,2024-10-27T23:57:31,家庭用户,18-24岁,朋友聚会
user_0008,first_song_completed,2024-10-28T00:02:31,家庭用户,18-24岁,朋友聚会
user_0008,shared_recording,2024-10-28T00:24:31,家庭用户,18-24岁,朋友聚会
user_0009,signup,2024-12-01T15:36:23,年轻用户,18-24岁,练歌
user_0009,first_song_selected,2024-12-01T15:48:23,年轻用户,18-24岁,练歌
user_0009,first_song_completed,2024-12-01T15:54:23,年轻用户,18-24岁,练歌
user_0009,shared_recording,2024-12-01T16:24:23,年轻用户,18-24岁,练歌
user_0010,signup,2024-12-21T19:59:14,家庭用户,25-34岁,家庭聚会
user_0011,signup,2024-11-08T22:46:54,年轻用户,18-24岁,家庭聚会
user_0011,first_song_selected,2024-11-08T22:50:54,年轻用户,18-24岁,家庭聚会
user_0012,signup,2024-12-03T15:16:58,年轻用户,35-44岁,合唱
user_0012,first_song_selected,2024-12-03T15:31:58,年轻用户,35-44岁,合唱
user_0013,signup,2024-10-24T22:41:01,年轻用户,35-44岁,合唱
user_0014,signup,2024-11-08T18:40:14,年轻用户,45岁以上,练歌
user_0014,first_song_selected,2024-11-08T18:43:14,年轻用户,45岁以上,练歌
user_0015,signup,2024-10-15T20:08:45,年轻用户,18-24岁,独唱
user_0015,first_song_selected,2024-10-15T20:21:45,年轻用户,18-24岁,独唱
user_0016,signup,2024-11-27T20:31:14,年轻用户,45岁以上,朋友聚会
user_0017,signup,2024-12-06T04:30:01,年轻用户,18-24岁,独唱
user_0018,signup,2024-10-29T11:54:17,家庭用户,35-44岁,独唱
user_0018,first_song_selected,2024-10-29T12:02:17,家庭用户,35-44岁,独唱
user_0018,first_song_completed,2024-10-29T12:10:17,家庭用户,35-44岁,独唱
user_0019,signup,2024-12-28T14:34:37,年轻用户,25-34岁,练歌
user_0019,first_song_selected,2024-12-28T14:45:37,年轻用户,25-34岁,练歌
user_0019,first_song_completed,2024-12-28T14:53:37,年轻用户,25-34岁,练歌
user_0020,signup,2024-11-22T08:50:39,年轻用户,35-44岁,合唱
user_0021,signup,2024-11-01T11:20:18,音乐爱好者,18-24岁,练歌
user_0021,first_song_selected,2024-11-01T11:22:18,音乐爱好者,18-24岁,练歌
user_0022,signup,2024-10-06T14:58:31,家庭用户,35-44岁,合唱
user_0022,first_song_selected,2024-10-06T15:08:31,家庭用户,35-44岁,合唱
user_0023,signup,2024-12-13T20:19:53,年轻用户,45岁以上,独唱
user_0023,first_song_selected,2024-12-13T20:22:53,年轻用户,45岁以上,独唱
user_0023,first_song_completed,2024-12-13T20:28:53,年轻用户,45岁以上,独唱
user_0024,signup,2024-12-30T04:31:31,年轻用户,45岁以上,合唱
user_0024,first_song_selected,2024-12-30T04:43:31,年轻用户,45岁以上,合唱
user_0025,signup,2024-11-12T12:50:49,家庭用户,45岁以上,家庭聚会
user_0026,signup,2024-10-07T05:11:28,年轻用户,25-34岁,合唱
user_0026,first_song_selected,2024-10-07T05:21:28,年轻用户,25-34岁,合唱
user_0027,signup,2024-12-08T17:23:20,年轻用户,18-24岁,独唱
user_0027,first_song_selected,2024-12-08T17:27:20,年轻用户,18-24岁,独唱
user_0027,first_song_completed,2024-12-08T17:30:20,年轻用户,18-24岁,独唱
user_0028,signup,2024-12-04T22:49:52,年轻用户,25-34岁,家庭聚会
user_0028,first_song_selected,2024-12-04T22:58:52,年轻用户,25-34岁,家庭聚会
user_0028,first_song_completed,2024-12-04T23:05:52,年轻用户,25-34岁,家庭聚会
user_0029,signup,2024-10-19T11:41:14,年轻用户,45岁以上,朋友聚会
user_0029,first_song_selected,2024-10-19T11:52:14,年轻用户,45岁以上,朋友聚会
user_0030,signup,2024-12-05T09:03:11,年轻用户,45岁以上,独唱
user_0030,first_song_selected,2024-12-05T09:14:11,年轻用户,45岁以上,独唱
user_0030,first_song_completed,2024-12-05T09:20:11,年轻用户,45岁以上,独唱
user_0031,signup,2024-10-19T14:26:14,家庭用户,18-24岁,合唱
